season,hour,MOST_mean,BRN_ANC_mean,MOST_std,BRN_ANC_std,MOST_n,BRN_ANC_n,n_days
Wet Season (Oct-Apr),0.5,2.2415891321701777,-0.41676483056376007,6.583747380685131,3.0507008161566596,327,339,1477
Wet Season (Oct-Apr),1.0,3.5055179952118354,-0.35148896688553866,7.332159950458921,3.1500890678635503,280,321,1477
Wet Season (Oct-Apr),1.5,2.8568895698305092,-0.5266290013190243,7.120812983784147,3.1931304664731877,286,324,1477
Wet Season (Oct-Apr),2.0,3.0055520203694885,-0.7209182922195654,6.741174119646867,2.9106319568092647,269,307,1477
Wet Season (Oct-Apr),2.5,3.2127047900900494,-0.2843640094197873,6.50454560906066,2.58313788474917,262,293,1477
Wet Season (Oct-Apr),3.0,3.4509455982626003,-0.27655970265111074,6.589488878590325,2.643129037357633,259,306,1477
Wet Season (Oct-Apr),3.5,4.223840098935396,-0.01812357914606626,6.679015168609328,2.6138594093531657,242,257,1477
Wet Season (Oct-Apr),4.0,3.7491608459950134,-0.06987741621735652,6.412476934463383,2.387691511327156,245,266,1477
Wet Season (Oct-Apr),4.5,4.043438431614151,-0.2602641421767923,6.610786379642436,2.450354497043348,244,280,1477
Wet Season (Oct-Apr),5.0,3.6077940428911837,-0.2826050342881997,6.551880577047573,2.497586952356647,230,256,1477
Wet Season (Oct-Apr),5.5,2.895052003118088,-0.4707558063898006,6.243986368228945,2.6391968445474636,231,266,1477
Wet Season (Oct-Apr),6.0,4.823240852220312,0.007258325874476754,7.438187578205883,2.8591350835766636,270,317,1477
Wet Season (Oct-Apr),6.5,13.083088191268917,4.279786559052435,15.28541901772187,7.082638854092969,536,494,1477
Wet Season (Oct-Apr),7.0,24.18647705058376,9.708576253691847,20.310984805387513,11.449350929575575,820,679,1477
Wet Season (Oct-Apr),7.5,36.17188290226491,17.382310612645448,26.403982233912142,17.35034013035416,958,745,1477
Wet Season (Oct-Apr),8.0,45.23683266651223,24.587762632372662,32.79800013720614,22.168400678194434,1025,712,1477
Wet Season (Oct-Apr),8.5,51.50826686954632,32.58991365953774,36.244994128736344,26.753546578272502,1079,679,1477
Wet Season (Oct-Apr),9.0,54.30283856703524,36.60102556391954,39.03901724152909,29.08401216333303,1100,642,1477
Wet Season (Oct-Apr),9.5,59.783242268534586,45.55306809937387,42.3662145695054,35.07393565076279,1139,665,1477
Wet Season (Oct-Apr),10.0,69.4495729630202,56.29366998195619,45.879251566604026,38.128788590323914,1186,726,1477
Wet Season (Oct-Apr),10.5,77.99810099783969,65.17156438235197,49.18894363190361,41.18513186383724,1239,797,1477
Wet Season (Oct-Apr),11.0,86.1993839027787,71.62745362194975,53.048193022447016,46.74707764580189,1283,936,1477
Wet Season (Oct-Apr),11.5,93.56834419598299,75.99798670326581,54.858829744196235,48.251392732200806,1312,1011,1477
Wet Season (Oct-Apr),12.0,98.93962769926252,78.29322424840082,55.559863858261636,49.204247106732694,1349,1123,1477
