season,hour,MOST_mean,BRN_ANC_mean,MOST_std,BRN_ANC_std,MOST_n,BRN_ANC_n,n_days
Dry Season (May-Sep),0.0,0.1383650634025947,0.07521584208585629,0.06916105821301738,0.046769166836623965,70,128,1155
Dry Season (May-Sep),0.5,0.14138900954119693,0.07385857359162445,0.07503224375374988,0.044274585316459864,70,144,1155
Dry Season (May-Sep),1.0,0.14767451011934904,0.07665649142706989,0.06617085585652303,0.04610507900438676,67,122,1155
Dry Season (May-Sep),1.5,0.13685012021706677,0.0728517046249584,0.05467262399947219,0.04075428905829512,60,129,1155
Dry Season (May-Sep),2.0,0.12728050246205994,0.07286236549531579,0.06388802477950929,0.04365556333165891,67,125,1155
Dry Season (May-Sep),2.5,0.12655390670585753,0.06906769762739022,0.06284123315247542,0.03257962149211248,53,119,1155
Dry Season (May-Sep),3.0,0.12864778554439293,0.07240775691742786,0.07113948021033624,0.0400915876706031,61,132,1155
Dry Season (May-Sep),3.5,0.13827856860332927,0.06993636417851963,0.0700676757856464,0.03934469030358666,62,133,1155
Dry Season (May-Sep),4.0,0.1454603879949185,0.0759369788646243,0.08577927526850619,0.049138771320948196,60,134,1155
Dry Season (May-Sep),4.5,0.14754926052929895,0.07019255944557344,0.0696678494500261,0.03879514564315916,56,139,1155
Dry Season (May-Sep),5.0,0.14364813188398928,0.07652871391993302,0.08651514241175254,0.051666401098419794,59,118,1155
Dry Season (May-Sep),5.5,0.1487561887603462,0.0780236895774183,0.0908143869758721,0.055818368445230596,61,117,1155
Dry Season (May-Sep),6.0,0.1424310810422576,0.07948190972756085,0.08247287075493082,0.05746012710144722,71,137,1155
Dry Season (May-Sep),6.5,0.1463109531826707,0.0786022848685096,0.07957218523286091,0.04815020709867086,113,207,1155
Dry Season (May-Sep),7.0,0.1422381243178722,0.08513006111190623,0.05242546262842852,0.0376539711516513,328,424,1155
Dry Season (May-Sep),7.5,0.1383461002796383,0.11315839457513574,0.05587368114934783,0.054358184229370526,638,489,1155
Dry Season (May-Sep),8.0,0.14310840075284464,0.1374191964306478,0.055428522567802445,0.05348971121003599,773,516,1155
Dry Season (May-Sep),8.5,0.13810492743759833,0.15719711997248634,0.05502025547654311,0.053288278231821175,843,476,1155
Dry Season (May-Sep),9.0,0.13187914080941465,0.1720290827805176,0.05396724463154959,0.05008663291335538,822,419,1155
Dry Season (May-Sep),9.5,0.12894269262703842,0.1880426318961638,0.05436837852864291,0.05527499042684115,803,336,1155
Dry Season (May-Sep),10.0,0.12816112545999017,0.21379322372388146,0.060730331308823673,0.06257731927248193,841,311,1155
Dry Season (May-Sep),10.5,0.1410388537000212,0.23744744917728916,0.06753566569928918,0.06837290505316557,841,350,1155
Dry Season (May-Sep),11.0,0.14933151346394594,0.25056566677142106,0.07339276323012103,0.07196395882223164,911,425,1155
Dry Season (May-Sep),11.5,0.16327424971362425,0.26878505102955325,0.07853606656963157,0.07731214735034499,942,488,1155
Dry Season (May-Sep),12.0,0.17542426073299702,0.27386642582522697,0.08432173761692412,0.08243571233182811,988,627,1155
Dry Season (May-Sep),12.5,0.19099196642342942,0.2884120614609754,0.0960333006463119,0.09231073959969813,1033,685,1155
Dry Season (May-Sep),13.0,0.2070712330033188,0.29829566716736905,0.1045746934905019,0.09708593707020478,1048,757,1155
Dry Season (May-Sep),13.5,0.2266989768069164,0.3032359877470846,0.10912137624203984,0.1043172389813874,1072,882,1155
