,n,slope,intercept,r2,pearson_r,rmse,mae,mbe
QH_Wm2,48557.0,0.744860068253423,-1.1730778001246212,0.8339461350752205,0.9132065128300496,29.89993513189305,21.333616551147685,-15.349396573875369
QE_Wm2,48557.0,0.7061523616572721,-0.6387249307333251,0.7853268850745598,0.8861867100530002,37.94067587820976,27.966254991788617,-23.050414209665597
u_star,48557.0,0.9472739810684935,-0.0004259999663195299,0.6966512303763186,0.834656354661197,0.07757735127818163,0.062355517511354056,-0.013655484486965793
